ts,TcwIn,TcwOut,Fcw,TcdOut,TcdIn,E,State,Q,Fcd,COP,Eff,dT
2023-07-10 10:50:00,9.88194425,3.95833325,1227.714584375,32.5555555,28.673611125,1336.25,1.0,8458.327410690827,2169.746609492491,6.329852989117318,1.0,28.59722225
2023-07-10 11:00:00,9.788889000000001,3.9944444,1228.5201903,32.2611111,28.4500001,1311.0,1.0,8279.536683227325,2163.7053593872233,6.315569245674583,1.0,28.266666700000002
2023-07-10 11:10:00,9.7555556,4.0,1239.3238403999999,32.0111112,28.211111199999998,1309.0,1.0,8296.370779688872,2173.464530976852,6.33796446786098,1.0,28.0111112
2023-07-10 11:20:00,9.8,4.0055556,1233.8169678,31.8833332,28.044444499999997,1309.0,1.0,8315.130907900748,2155.69304463368,6.352637004777468,1.0,27.8777776
2023-07-10 11:30:00,9.7055555,3.9944444,1224.1473876,31.466666500000002,27.7000001,1270.0,1.0,8131.447807396733,2145.973283944294,6.402891884160638,1.0,27.4722221
2023-07-10 11:40:00,9.6111112,4.0055556,1233.1335693,31.2444444,27.5722225,1261.0,1.0,8039.756509832257,2177.7937605680363,6.376274884284472,1.0,27.2388888
2023-07-10 11:50:00,9.638889,3.9944444,1235.8864379000001,31.155555600000003,27.4388887,1264.0,1.0,8113.6038774469025,2169.405120522327,6.419305767572773,1.0,27.1611112
2023-07-10 12:00:00,9.6388889,4.0166667,1242.9929200000001,31.1555557,27.450000199999998,1272.0,1.0,8128.147436428599,2181.098859860404,6.392073917749327,1.0,27.138889
2023-07-10 12:10:00,9.7555556,4.0222223999999995,1250.2188233000002,31.6055555,27.7944446,1311.0,1.0,8336.989399040483,2176.6890409315047,6.359300176495807,1.0,27.583333099999997
2023-07-10 12:20:00,9.75,3.9944444,1245.7630127,31.755555500000003,27.922221999999998,1304.0,1.0,8339.690166307679,2163.059013001228,6.396447395039372,1.0,27.7611111
2023-07-10 12:30:00,9.572222499999999,3.9944444,1243.3023437,31.5111112,27.805555500000004,1271.0,1.0,8065.898570308127,2166.499025901399,6.346432527388666,1.0,27.516666800000003
2023-07-10 12:40:00,9.6222225,4.0111112,1243.6487547000002,31.477777600000003,27.733333299999998,1277.0,1.0,8116.280454927348,2156.9247474305007,6.356531839656997,1.0,27.4666664
2023-07-10 12:50:00,9.638889,3.9777776000000005,1239.4723142999999,31.4888888,27.7499999,1278.0,1.0,8161.018531037227,2170.6146465168063,6.386154309790413,1.0,27.5111112
2023-07-10 13:00:00,9.6055558,4.0,1252.7274292,31.6277779,27.888888700000003,1288.0,1.0,8167.538739159223,2174.444690531217,6.341737397239173,1.0,27.6277779
2023-07-10 13:10:00,9.5555556,4.0055556,1243.5938232,31.788889,28.066666700000003,1273.0,1.0,8027.750571115839,2148.501563532872,6.306733386427755,1.0,27.783333400000004
2023-07-10 13:20:00,9.5833336,4.0111112,1251.5630859999999,31.8611112,28.155555600000003,1291.0,1.0,8111.27344596207,2181.6754053577997,6.284051440936185,1.0,27.85
2023-07-10 13:30:00,9.7722224,3.9944444,1262.2165528,32.2555555,28.416666600000003,1343.0,1.0,8482.230049532995,2200.525569512315,6.315995103278844,1.0,28.2611111
2023-07-10 13:40:00,9.7666667,3.9944446,1271.2683959,32.5111112,28.633333400000005,1358.0,1.0,8534.375721046168,2193.4957557932566,6.285283222231286,1.0,28.5166666
2023-07-10 13:50:00,9.788888799999999,4.0,1277.3063476,32.5666667,28.644444600000003,1373.0,1.0,8599.819953321876,2186.204624239913,6.264047196636645,1.0,28.566666700000003
2023-07-10 14:00:00,9.8611109,4.0555555,1285.0571044,32.7388889,28.744444499999997,1406.0,1.0,8677.260377852135,2170.4161890307864,6.172312946891429,1.0,28.6833334
2023-07-10 14:10:00,9.9166665,3.9999999,1289.0359619,33.2111111,29.1388891,1444.0,1.0,8870.588331887024,2177.8251543916235,6.14415908514132,1.0,29.211111199999998
2023-07-10 14:20:00,10.0,4.0055556,1287.915686,33.7000001,29.5722222,1476.0,1.0,8979.419793879326,2177.8278358995626,6.083668493041456,1.0,29.694444500000003
2023-07-10 14:30:00,9.9833332,4.0055556,1294.0157348999999,34.0499999,29.9166665,1492.0,1.0,8996.58373459696,2181.8030533774045,6.029937949927271,1.0,30.0444443
2023-07-10 14:40:00,10.0722223,4.0111112,1294.6855104,34.155555699999994,29.9444442,1528.0,1.0,9126.629662295345,2175.648098250055,5.973023429976465,1.0,30.1444445
2023-07-10 14:50:00,10.088888899999999,4.0,1295.8145385,34.166667,29.9166665,1531.0,1.0,9176.850339232595,2166.2551552314635,5.994287255132403,1.0,30.166666999999997
2023-07-10 15:00:00,10.05,4.0111112,1297.4381955000001,34.0611113,29.8555553,1512.0,1.0,9112.884634299659,2172.2251809376544,6.027101504542498,1.0,30.0500001
2023-07-10 15:10:00,10.111111,4.0,1287.7644776,34.1222223,29.916666400000004,1519.0,1.0,9153.160340030985,2181.8636318674844,6.025805809681747,1.0,30.122222299999997
2023-07-10 15:20:00,10.094444499999998,4.0111112,1287.9679686,34.172222399999995,29.9888888,1511.0,1.0,9112.9455171273,2183.583345082801,6.0312267271014335,1.0,30.1611112
2023-07-10 15:30:00,10.2055555,4.0388891000000005,1295.5123171,34.3722221,30.1000002,1570.0,1.0,9292.006837387995,2186.019489030631,5.9188199810508335,1.0,30.333333
2023-07-10 15:40:00,10.1666668,3.9888888000000002,1290.4772214,34.527778,30.2388888,1563.0,1.0,9272.440214604374,2172.251569321886,5.932967437257231,1.0,30.5388892
